latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.855885,32.453083,1020.0,10800,Europe/Istanbul,GMT+3

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),relative_humidity_2m_mean (%),wind_speed_10m_max (km/h),surface_pressure_mean (hPa),cloud_cover_mean (%),precipitation_sum (mm)
2015-01-01,5.1,8.2,1.9,81,14.1,896.8,69,7.10
2015-01-02,1.9,3.9,0.3,85,7.9,901.2,64,0.00
2015-01-03,1.9,5.3,-0.3,78,6.4,901.0,64,0.00
2015-01-04,1.3,6.9,-3.9,69,9.0,897.0,62,0.00
2015-01-05,1.8,4.3,0.0,82,9.5,889.7,90,7.30
2015-01-06,-3.3,-0.1,-7.9,89,17.5,881.8,87,12.40
2015-01-07,-6.2,-4.6,-10.8,87,31.8,891.7,95,4.40
2015-01-08,-13.2,-11.4,-15.6,80,21.3,904.8,27,0.00
2015-01-09,-16.4,-12.4,-19.5,77,12.6,906.4,26,0.00
2015-01-10,-10.6,-2.7,-19.5,67,7.8,897.3,83,1.40
2015-01-11,-4.5,0.6,-7.7,85,8.6,901.0,29,0.00
2015-01-12,-0.7,3.5,-7.1,88,17.8,900.5,96,0.00
2015-01-13,1.6,3.0,0.1,88,15.6,901.2,73,1.40
2015-01-14,0.4,3.8,-1.9,83,7.6,901.6,16,0.00
2015-01-15,1.0,6.3,-4.0,80,6.2,898.5,50,0.00
2015-01-16,1.1,3.7,-1.6,91,10.5,901.2,81,1.00
2015-01-17,-0.0,2.5,-2.9,90,6.5,906.7,45,0.00
2015-01-18,0.2,6.0,-4.5,77,6.2,909.0,20,0.00
2015-01-19,1.5,8.2,-3.0,65,5.6,905.1,66,0.00
2015-01-20,2.6,10.3,-2.6,70,6.2,902.6,49,0.00
2015-01-21,3.8,12.1,-1.3,74,11.2,900.7,48,0.00
2015-01-22,3.7,9.7,-1.5,74,8.3,904.5,35,0.00
2015-01-23,4.5,11.6,-1.5,69,8.2,901.5,8,0.00
2015-01-24,5.2,13.2,-1.5,62,22.1,895.3,11,0.00
2015-01-25,5.4,11.1,1.4,75,18.7,897.4,27,0.00
2015-01-26,4.5,10.1,-0.5,72,13.7,899.4,32,0.00
2015-01-27,5.0,11.1,0.2,68,15.5,898.1,15,0.00
2015-01-28,3.8,9.0,-0.5,77,14.8,892.7,43,1.60
2015-01-29,2.7,9.5,-2.5,78,14.2,893.0,57,0.20
2015-01-30,3.3,9.6,-1.4,77,18.9,893.0,64,0.00
2015-01-31,6.3,10.7,2.3,75,32.5,894.0,92,1.20
2015-02-01,7.7,12.2,5.1,58,33.3,896.6,58,0.00
2015-02-02,7.4,13.7,1.8,49,27.3,893.6,4,0.00
2015-02-03,7.0,10.0,2.0,64,26.3,891.9,31,0.60
2015-02-04,4.2,10.6,-0.7,68,10.8,899.3,40,0.00
2015-02-05,5.5,13.3,-0.8,65,7.2,901.6,34,0.00
2015-02-06,6.9,16.3,-0.5,59,14.8,898.0,37,0.00
2015-02-07,5.9,12.7,-0.8,66,12.3,893.4,44,0.00
2015-02-08,4.6,11.0,0.2,70,18.7,889.6,46,0.00
2015-02-09,4.7,8.9,1.4,70,14.1,884.4,80,1.20
2015-02-10,2.1,4.3,0.5,92,13.4,879.3,97,9.50
2015-02-11,-1.3,0.6,-2.6,89,19.1,882.5,98,14.10
2015-02-12,-2.3,-0.1,-4.3,85,14.3,894.5,92,0.30
2015-02-13,0.1,2.3,-2.4,88,18.0,896.8,96,0.30
2015-02-14,0.7,2.6,-1.5,86,7.9,897.3,84,0.00
2015-02-15,1.5,4.6,-1.2,79,9.2,896.4,80,0.20
2015-02-16,1.3,4.9,-3.2,81,14.0,896.0,37,0.70
2015-02-17,-1.0,1.2,-4.0,79,15.5,898.6,87,1.30
2015-02-18,-5.9,-4.4,-7.4,77,23.1,897.4,99,6.60
2015-02-19,-5.4,-2.5,-8.8,83,25.2,892.4,95,5.70
2015-02-20,-4.2,-2.9,-5.9,83,27.3,893.7,76,3.80
2015-02-21,-5.5,-3.2,-9.2,79,21.6,898.6,51,0.10
2015-02-22,-3.0,2.9,-8.2,62,7.0,901.6,38,0.00
2015-02-23,2.2,6.3,-1.7,80,10.2,900.2,100,1.10
2015-02-24,3.2,6.0,0.5,90,11.4,894.4,96,5.10
2015-02-25,4.9,10.8,1.7,80,19.2,895.4,56,1.60
2015-02-26,6.5,12.7,0.3,74,8.2,903.2,70,0.00
2015-02-27,9.2,15.9,4.0,56,19.8,898.4,27,0.00
2015-02-28,7.5,12.1,3.1,66,21.5,895.1,38,0.00
2015-03-01,5.4,11.0,0.6,81,7.6,897.2,61,1.60
2015-03-02,5.1,10.4,0.7,80,6.1,897.8,59,0.70
2015-03-03,4.4,10.3,-0.6,78,12.2,898.5,74,0.10
2015-03-04,3.9,8.1,-0.8,65,17.5,902.8,18,0.00
2015-03-05,2.0,8.5,-3.9,55,9.2,904.8,8,0.00
2015-03-06,6.1,15.9,-1.9,64,8.2,903.2,83,0.00
2015-03-07,9.0,17.5,1.2,60,10.4,901.0,87,0.00
2015-03-08,11.8,18.7,6.2,50,10.4,900.9,19,0.00
2015-03-09,12.0,19.2,4.3,53,16.8,902.3,4,0.20
2015-03-10,12.1,20.0,6.2,53,19.9,902.4,53,0.00
2015-03-11,9.9,15.3,6.1,73,21.1,897.3,67,2.30
2015-03-12,6.6,10.9,2.0,82,10.3,892.4,78,6.40
2015-03-13,5.7,12.3,-0.9,67,17.9,896.6,44,0.20
2015-03-14,4.9,9.1,1.5,77,16.1,898.8,74,2.60
2015-03-15,4.9,10.5,-0.5,81,15.1,901.0,41,1.60
2015-03-16,5.6,9.1,2.8,73,19.9,905.2,66,0.00
2015-03-17,4.1,7.3,1.3,69,14.2,903.4,80,0.00
2015-03-18,4.5,10.2,-2.2,72,7.6,900.4,82,0.30
2015-03-19,4.1,8.0,1.7,84,17.0,896.0,81,5.00
2015-03-20,3.3,8.4,-2.2,68,5.5,894.2,58,0.80
2015-03-21,0.7,3.1,-1.6,77,30.5,893.8,82,2.50
2015-03-22,3.6,9.7,-0.4,65,16.7,901.1,45,0.00
2015-03-23,5.7,13.3,-1.3,64,13.8,900.1,91,0.60
2015-03-24,6.7,10.7,3.6,80,12.3,900.6,62,1.50
2015-03-25,6.1,12.2,-0.5,58,9.4,902.7,49,0.00
2015-03-26,10.0,17.0,2.5,46,9.1,903.0,70,0.60
2015-03-27,11.6,17.0,6.1,75,16.0,898.7,86,8.50
2015-03-28,10.5,14.9,7.8,78,25.0,891.8,66,12.00
2015-03-29,9.2,14.3,5.7,76,14.0,892.8,86,1.20
2015-03-30,8.3,13.5,4.6,78,9.4,893.0,68,2.40
2015-03-31,7.4,13.2,2.1,77,14.3,893.3,72,0.40
2015-04-01,8.5,16.5,0.6,71,17.4,894.1,17,0.00
2015-04-02,9.0,14.7,3.9,73,24.5,894.1,60,1.00
2015-04-03,7.3,12.9,3.0,65,10.0,893.8,78,0.70
2015-04-04,4.9,9.2,1.5,60,18.6,894.4,17,0.00
2015-04-05,7.0,15.4,-0.8,51,18.2,897.4,41,0.00
2015-04-06,9.7,18.3,1.1,64,15.6,898.2,46,0.00
2015-04-07,10.5,15.8,5.5,66,26.0,892.5,34,0.00
2015-04-08,8.5,13.9,5.3,78,10.5,892.2,85,3.40
2015-04-09,6.2,11.5,2.3,77,28.6,886.1,62,6.00
